"id";"swls_1_t1";"swls_2_t1";"swls_3_t1";"swls_4_t1";"swls_5_t1";"uls_1_t1";"uls_2_t1";"uls_3_t1";"uls_4_t1";"uls_5_t1";"uls_6_t1";"uls_7_t1";"uls_8_t1";"uls_9_t1";"awb_1_t1";"awb_2_t1";"awb_3_t1";"awb_4_t1";"awb_5_t1";"awb_6_t1";"demog_ses_t1";"party_affiliation_t1";"support_election2020_t1"
"FA20_3KU5YFR06IRM";6;6;6;7;5;3;4;4;3;4;3;3;3;2;1;4;5;3;2;4;6;2;2
"FA20_3L9S10DEQN30";4;6;6;6;5;2;3;4;2;3;2;3;3;2;2;4;3;2;4;4;7;4;2
"FA20_3M60RK7VPRS9";2;6;2;1;1;1;4;3;3;3;3;2;3;3;1;4;3;2;2;2;7;4;3
"FA20_3MGF1WUKKZX6";1;2;1;1;1;3;1;2;3;3;1;2;4;2;5;5;2;5;2;3;7;3;2
"FA20_3OBP2KUVFP2K";5;5;6;6;5;4;3;4;2;4;4;3;2;3;2;3;3;2;3;4;8;1;1
"FA20_3POP0B2CNLFH";4;5;5;6;6;4;2;3;3;3;2;2;3;3;3;5;3;1;3;2;7;4;2
"FA20_3Q4B1L378WX5";5;6;6;6;6;3;4;4;2;4;3;3;3;3;1;3;4;2;2;3;6;2;2
"FA20_3R4GFERH2ZKT";4;7;7;4;3;1;3;4;2;4;4;4;1;4;3;4;5;1;5;2;5;3;2
"FA20_3RFS3601F107";5;5;5;5;2;3;2;3;1;3;3;3;4;2;2;2;2;3;2;4;4;3;2
"FA20_3RKDR0KF64YX";3;3;2;5;2;3;3;4;3;4;3;4;2;4;4;5;5;4;3;2;6;2;2
"FA20_3TP97VFVUXGY";3;2;6;5;5;2;4;4;2;4;3;4;2;4;3;4;5;3;2;3;4;2;2
"FA20_3X1W2OJ8YINS";2;3;2;4;2;4;2;2;4;2;1;3;4;2;4;4;3;5;1;3;7;2;2
"FA20_3YOO4QIN23SF";4;3;5;5;6;2;3;3;2;3;3;3;2;3;1;4;5;2;4;3;5;2;2
"FA20_3ZYQYUHP9NR1";2;4;6;5;3;3;4;4;2;4;4;4;2;4;3;5;5;3;4;1;6;3;2
"FA20_40B6HLDKY70U";5;5;4;6;1;4;2;3;4;2;3;3;4;3;3;5;2;5;2;1;4;1;2
"FA20_41CVDUG41HMA";3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;4;3;3;2;2;7;2;2
"FA20_43F2U35GQK2H";3;5;3;2;3;2;4;4;2;4;4;3;2;4;3;2;4;3;3;4;6;3;3
"FA20_46IGW86RHFL3";3;4;5;5;3;3;3;4;3;3;3;4;3;4;2;4;4;3;4;3;7;2;2
"FA20_473ZG0IHVF03";6;6;6;7;6;3;3;4;3;4;3;3;4;3;3;4;3;4;3;4;4;2;2
"FA20_47IJJFSX6OFS";2;3;5;5;5;3;3;4;2;3;3;3;3;4;1;3;3;2;3;4;8;2;2
"FA20_49Y4JBJRFAQB";1;1;1;1;4;3;2;3;3;3;2;3;3;3;1;3;3;2;1;2;4;4;3
"FA20_4B0FU6A7E9FA";5;5;5;4;3;2;3;3;2;3;3;3;2;3;2;2;3;2;3;4;7;2;2
"FA20_4BALTE5LBSZS";3;2;3;4;5;2;3;3;3;3;3;3;2;3;3;5;4;4;3;2;4;2;2
"FA20_4FJIBAP979P4";5;6;7;7;7;3;4;2;2;4;4;4;3;2;1;4;4;3;4;1;5;2;2
"FA20_4JJPW7COG34M";5;3;3;5;5;2;3;4;2;4;3;4;2;4;1;2;3;2;2;2;8;1;1
"FA20_4L4K08HG6Z4N";7;7;7;6;5;3;3;3;3;2;2;2;3;3;3;4;4;4;4;4;7;4;2
"FA20_4N4QJHCFYM6L";2;6;2;2;2;4;3;2;3;2;3;3;3;3;3;4;3;3;2;4;9;1;1
"FA20_4O8TWAY5VZKB";6;6;6;6;6;1;4;4;3;4;3;3;3;3;2;4;4;4;4;3;8;1;1
"FA20_4OJFZ518JSW1";6;7;6;6;7;3;3;4;3;4;3;4;3;3;1;5;4;3;4;1;8;2;2
"FA20_4P9VLEDMUDPN";2;5;6;6;1;4;3;2;4;3;3;2;4;3;2;4;5;3;4;5;6;2;2
"FA20_4RWYQ0J1DQDV";5;6;6;6;5;4;3;2;4;2;2;2;4;1;3;5;2;4;2;1;8;2;2
"FA20_4S7A0G3ERS41";6;5;5;5;5;3;3;4;2;3;3;3;3;4;2;4;4;3;4;4;3;2;2
"FA20_4SCL9RQOX81R";3;4;5;4;2;3;3;3;4;3;3;2;4;3;4;3;3;3;3;3;7;2;2
"FA20_4STMQIZ8Y75F";2;5;5;3;5;2;2;4;2;4;4;4;2;4;1;1;4;1;4;4;8;4;2
"FA20_4T0LH6RTM6WB";5;4;4;4;3;3;2;1;4;2;2;2;3;2;5;5;2;5;2;1;5;4;3
"FA20_4TRXG07D20RS";2;4;4;4;2;2;4;4;2;4;4;4;2;4;2;5;5;4;4;3;8;2;2
"FA20_4UUD2SSDBH98";2;5;5;2;1;3;3;4;3;4;4;4;3;4;3;3;3;4;2;2;4;1;1
"FA20_4XN4G1RRUX28";4;5;5;5;3;2;3;3;3;3;2;3;3;3;1;3;3;2;3;3;7;2;2
"FA20_4ZTCU4HQFR8E";5;5;5;4;3;3;3;3;3;3;4;4;3;4;4;5;3;3;2;2;8;2;2
"FA20_505NY1MTKZ34";2;2;3;3;3;2;3;4;3;3;3;3;2;4;1;5;3;3;2;1;4;2;2
"FA20_50ZOXB7K0HHZ";2;5;5;5;3;4;3;3;3;3;2;2;4;2;2;5;3;3;3;1;7;2;2
"FA20_5231MCDSUGBA";2;3;2;2;3;4;3;4;3;4;3;2;3;3;1;3;3;2;3;3;5;2;2
"FA20_542LNPOBACIQ";3;6;3;3;5;3;3;3;2;4;3;4;3;4;3;5;2;4;2;2;7;4;3
"FA20_56FS6YVGWNC6";5;6;6;6;3;3;4;4;3;4;4;3;2;4;1;2;5;2;3;4;7;2;2
"FA20_56OKHEJHYIRD";5;4;6;4;5;1;3;4;2;4;3;4;2;4;3;4;5;3;5;5;5;3;2
"FA20_57T9BJY64MXQ";3;7;3;3;1;4;3;3;2;4;3;4;3;4;1;2;3;2;2;4;8;4;2
"FA20_59VX2M5LAQV8";5;5;6;6;3;3;4;4;2;3;4;3;2;3;2;2;4;4;3;5;7;2;2
"FA20_5ADZITPEMS0W";5;6;5;5;4;2;3;4;3;4;3;3;2;3;2;3;3;2;3;3;9;2;2
"FA20_5DH0P93R4EH5";1;2;2;2;1;3;2;1;3;2;3;2;4;3;2;5;1;3;2;1;7;3;3
"FA20_5F1UDWB09EH8";1;2;1;1;1;4;3;2;3;2;1;3;4;3;5;5;3;5;1;4;4;3;3
"FA20_5GF7F1UMHOZB";4;4;6;7;6;3;3;4;3;4;3;3;3;3;3;5;4;3;4;2;5;2;2
"FA20_5HEE35323MCE";5;2;6;6;6;2;2;4;2;4;3;4;3;4;2;4;5;2;3;2;3;2;2
"FA20_5HN4UYRBAJU6";5;6;6;7;5;2;3;3;4;4;3;3;4;2;2;5;3;2;4;3;9;2;2
"FA20_5IJVYO1EZW20";6;5;5;2;6;3;3;4;3;4;3;4;3;3;2;3;4;2;4;3;8;2;2
