"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"FA20_8251MH4GKSGS";2;2;3;2;3;2;2;"1,14";NA
"FA20_TNJU6511GDY3";1;2;1;2;3;2;1;"1";NA
"FA20_7USHPLDFQQ53";1;1;3;1;3;1;1;"5,11";1
"FA20_KJUUGEII0LOW";1;2;2;1;2;2;2;"5";2
"FA20_C7X3L5XFW9GG";1;2;4;1;2;3;3;"9,18";NA
"FA20_01GGS494K9QA";1;4;2;2;4;1;3;"2,4,5,12,18";3
"FA20_WVNXXLZW4ESR";2;1;1;2;1;1;1;"15";NA
"FA20_ZPSLF94XFJAZ";2;2;2;2;4;2;2;"2";NA
"FA20_C6Q6X42M5QLG";1;2;1;1;3;1;1;"15,19";NA
"FA20_LE3M988AYACN";1;2;2;2;3;2;2;"1";NA
"FA20_0CQ277AQDRLV";1;2;3;2;3;2;2;"15";NA
"FA20_NG3XMHSODW4Z";1;2;2;1;3;1;2;"2,5,10,18";1
"FA20_D7SOY3TAXQS8";1;1;4;1;3;1;4;"1,2,5";4
"FA20_7H5R3X5OMG7W";1;2;2;2;2;3;2;"1";NA
"FA20_QFXPFS2W3EN6";1;2;3;2;3;1;3;"1,9";NA
"FA20_V4KWCQW0MLVF";1;2;3;1;3;1;3;"1";NA
"FA20_E1V045X224Q4";2;2;2;2;3;2;2;"7";NA
"FA20_EEJKMC34WFDD";1;2;3;2;2;1;2;"2,12";NA
"FA20_OOTOJ6UDA6VL";1;1;3;1;1;1;3;"4,5,12,15";3
"FA20_35QXODH78SNR";1;2;3;1;3;3;2;"1";NA
"FA20_XLX1V6SZ8A2N";1;2;4;1;3;1;3;"2,5,7,18";1
"FA20_4UUD2SSDBH98";1;1;2;1;2;2;2;"1,4,5";1
"FA20_IQESTSWEITPF";1;2;3;1;2;2;3;"19";NA
"FA20_OUBGBNCG1TTF";2;3;2;1;3;1;2;"18";NA
"FA20_K658BGZTQ0GG";1;2;3;1;2;1;4;"2";NA
"FA20_PNCXAA5E7NJP";1;1;4;1;2;1;4;"15";NA
"FA20_GL29K8ZGOYU5";1;2;2;4;3;4;3;"8";NA
"FA20_TOUXFGNQJ9BK";1;1;3;2;1;2;3;"1,5,18";1
"FA20_R94ZAT2PXRRN";1;3;4;1;4;1;1;"1,2";NA
"FA20_S31L15EWA7RW";1;1;3;2;1;2;3;"4,5,10,15";2
"FA20_R3W1490CEGQ7";1;2;1;3;4;2;2;"1,2,4,5";2
"FA20_AN40U9G5V5TF";2;2;3;2;3;3;3;"1,5,15";2
"FA20_UZHDNS5PEZ1N";1;3;2;3;4;2;2;"1,2";NA
"FA20_FQJU3H3SCAGD";1;1;4;1;2;1;3;"8";NA
"FA20_ES306QTH1J6Y";NA;NA;NA;NA;NA;NA;NA;"15";NA
"FA20_5WPU4OHE3QWT";1;3;3;1;4;2;2;"1,2";NA
"FA20_8DR420GF3EMC";1;3;2;1;3;2;2;"5,19";2
"FA20_M8OF23O42T1G";1;2;2;2;4;4;3;"1,4,5,10,18";2
"FA20_8VDVM45JBZAL";1;1;2;1;2;1;2;"4,5,15";4
"FA20_3FVB6E6CF9UT";1;2;3;1;2;3;3;"1,2,9";NA
"FA20_OBPMXIG0DHYS";1;2;NA;1;2;1;NA;"5";4
"FA20_PT2YHP0OSIG6";2;2;4;1;2;1;3;"8,12,16,18";NA
"FA20_MRBLJWFHWM37";1;1;4;1;2;1;3;"5,15";1
"FA20_09P025YG7BY0";1;2;3;1;2;1;3;"5,17,18";2
"FA20_7XDOBZF1GIAL";1;2;2;1;2;1;2;"1,4";NA
"FA20_6RRB7RD66BEJ";1;1;4;1;1;1;4;"1,19";NA
"FA20_ZI1NFLWM60V7";1;2;2;1;2;1;3;"4,5,10,15,18";1
"FA20_SOJBJA7UU63W";1;2;3;2;3;3;3;"1,2,12,18";NA
"FA20_4OJFZ518JSW1";1;2;4;1;2;1;3;"2,5,7,11,12,18";1
"FA20_H2Z1HOO9XNJT";1;2;3;2;4;2;2;"1,5,18";1
"FA20_ACKJM8X7MFQA";1;1;2;1;2;1;2;"1,11";NA
"FA20_863EEDKBJ7BL";1;2;4;1;3;2;2;"2,5,7";2
"FA20_N7MVALVPXH4A";2;3;3;2;3;2;3;"3,9,18";NA
"FA20_GJWVAXTH6798";1;1;4;1;2;1;4;"1,5";1
